id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1485094654471454721,1485043425783447552,2022-01-23 00:38:52 -03,2022-01-23,00:38:52,-0300,1444093170296393728,s0l4rp0wer,daniel,,@t4ylrswft taylor swift if she was an nzer but that’s bc i assume that people look like their profile pictures,en,[],[],[],0,0,0,[],[],https://twitter.com/S0L4RP0WER/status/1485094654471454721,False,,0,,,,,,,,"[{'screen_name': 't4ylrswft', 'name': 'lucia ☆', 'id': '1400589701367566340'}]",,,,
1485094444160458754,1485094444160458754,2022-01-23 00:38:01 -03,2022-01-23,00:38:01,-0300,986805210726240256,sgtllama,2+2=Fish,,@taylorswift13 would u rather get flowers 🌼 or...,en,[],[],[],0,0,0,[],[],https://twitter.com/sgtllama/status/1485094444160458754,False,,0,,,,,,,,[],,,,
1485094422660337665,1485094422660337665,2022-01-23 00:37:56 -03,2022-01-23,00:37:56,-0300,1212071515593662464,berenicepc22,Pacheco 🐿️,,Casi le dedico una canción de Taylor Swift iba a quedar 🤡,es,[],[],[],0,0,0,[],[],https://twitter.com/berenicepc22/status/1485094422660337665,False,,0,,,,,,,,[],,,,
1485094412124401666,1485094412124401666,2022-01-23 00:37:54 -03,2022-01-23,00:37:54,-0300,4238314469,ssqpcoments,mands 💍,,taylor swift – wildest dreams,en,[],[],[],0,0,0,[],[],https://twitter.com/ssqpcoments/status/1485094412124401666,False,https://twitter.com/selenagomezbr/status/1485027380183851013,0,,,,,,,,[],,,,
1485094356340117513,1485037958839341062,2022-01-23 00:37:40 -03,2022-01-23,00:37:40,-0300,26254784,rideallthebikes,Don,,@dustinpwalsh Taylor Swift T-shirt Sunday,en,[],[],[],0,0,0,[],[],https://twitter.com/rideallthebikes/status/1485094356340117513,False,,0,,,,,,,,"[{'screen_name': 'dustinpwalsh', 'name': 'Dustin P. Walsh', 'id': '30078506'}]",,,,
1485094341664256003,1485094341664256003,2022-01-23 00:37:37 -03,2022-01-23,00:37:37,-0300,2217221672,winterrecess,ｑｕｉｎｃｙ,,Thinking about how Taylor swift trademarked “this sick beat” like anybody wants to say that shit,en,[],[],[],0,0,0,[],[],https://twitter.com/winterrecess/status/1485094341664256003,False,,0,,,,,,,,[],,,,
1485094303097671682,1485094303097671682,2022-01-23 00:37:28 -03,2022-01-23,00:37:28,-0300,1644058592,megan_rayray,megan (taylor’s version) 🧣,,No because I don’t think I can ever forgive Taylor Swift for writing “and the skeletons in both our closets plotted hard to fuck this up”,en,[],[],[],0,0,0,[],[],https://twitter.com/megan_rayray/status/1485094303097671682,False,,0,,,,,,,,[],,,,
1485094291949355009,1485094291949355009,2022-01-23 00:37:25 -03,2022-01-23,00:37:25,-0300,1286277833711448064,swiftmoonchild,Enzo,,I MISS TAYLOR SWIFT SO MUCH THAT IT PHYSICALLY HURTS ME,en,[],[],[],0,0,1,[],[],https://twitter.com/swiftmoonchild/status/1485094291949355009,False,,0,,,,,,,,[],,,,
1485094281425522688,1485092030955290624,2022-01-23 00:37:23 -03,2022-01-23,00:37:23,-0300,1367223381012062212,ramireyes6,Mr. Perfectly Fine,,@lolswift1313 Me when I meet @taylorswift13,en,"[{'screen_name': 'taylorswift13', 'name': 'taylor swift', 'id': '17919972'}]",[],[],0,0,0,[],[],https://twitter.com/RamiReyes6/status/1485094281425522688,False,,0,,,,,,,,"[{'screen_name': 'lolswift1313', 'name': 'TM | Loving Him Was RED🧣', 'id': '1373060086948528130'}]",,,,
1485094267773407235,1485094267773407235,2022-01-23 00:37:19 -03,2022-01-23,00:37:19,-0300,1474322276782804993,msuhoo,suhoo 👀,,Taylor likes every post of Joe Alwny but she didn't follow him why ? 👀 @taylorswift13,en,"[{'screen_name': 'taylorswift13', 'name': 'taylor swift', 'id': '17919972'}]",[],[],0,0,0,[],[],https://twitter.com/msuhoo/status/1485094267773407235,False,,0,,,,,,,,[],,,,
1485094257979441152,1485094257979441152,2022-01-23 00:37:17 -03,2022-01-23,00:37:17,-0300,90901655,frnndfrts,fersoul,,fizeram um video muito triste de iz*one ao som de taylor swift  deus joga um raio na minha cabeça imediatamente,pt,[],[],[],0,0,0,[],[],https://twitter.com/frnndfrts/status/1485094257979441152,False,,0,,,,,,,,[],,,,
1485094216921489408,1485094216921489408,2022-01-23 00:37:07 -03,2022-01-23,00:37:07,-0300,958995409,sometrace,Paula Sofía R.,,Cada momento de mi vida tiene una canción de Taylor Swift que le quedaría perfecto de fondo 🥰,es,[],[],[],0,0,0,[],[],https://twitter.com/SomeTrace/status/1485094216921489408,False,,0,,,,,,,,[],,,,
1485094141163888648,1485078387865575426,2022-01-23 00:36:49 -03,2022-01-23,00:36:49,-0300,1426249924925169664,adriendefender,"ally♡︎’s hamza, angie, sam & ear tea",,@ftwrlmx 1. taylor swift 2. ariana grande 3. madison beer 4. dua lipa 5. sabrina carpenter,en,[],[],[],1,0,0,[],[],https://twitter.com/adriendefender/status/1485094141163888648,False,,0,,,,,,,,"[{'screen_name': 'ftwrlmx', 'name': '❛trinity♡’s sassy, maracas', 'id': '1319656258530627585'}]",,,,
1485094112793665537,1485094112793665537,2022-01-23 00:36:42 -03,2022-01-23,00:36:42,-0300,1449969620702666759,defonceswiftie,Hashlyn (Taylor’s Version),,Nobody:  Me: @taylorswift13,en,"[{'screen_name': 'taylorswift13', 'name': 'taylor swift', 'id': '17919972'}]",[],[],0,0,0,[],[],https://twitter.com/DefonceSwiftie/status/1485094112793665537,False,,0,,,,,,,,[],,,,
